timestamp,cme_cpa_deg,cme_width_deg,cme_speed_km_s,is_halo
2019-07-16 06:36:05+00:00,80.0,12.0,114.0,False
2019-07-16 17:36:05+00:00,141.0,10.0,476.0,False
2019-07-17 03:36:05+00:00,250.0,21.0,287.0,False
2019-07-17 22:12:05+00:00,266.0,39.0,90.0,False
2019-07-18 10:24:05+00:00,268.0,79.0,158.0,False
2019-07-20 00:48:05+00:00,249.0,8.0,314.0,False
2019-07-20 08:48:05+00:00,275.0,8.0,269.0,False
2019-07-20 11:48:05+00:00,111.0,12.0,260.0,False
2019-07-22 00:48:05+00:00,27.0,7.0,475.0,False
2019-07-22 08:12:05+00:00,265.0,38.0,81.0,False
2019-07-22 17:48:05+00:00,53.0,6.0,350.0,False
2019-07-23 10:36:05+00:00,118.0,10.0,227.0,False
2019-07-23 15:28:49+00:00,3.0,9.0,817.0,False
2019-07-23 18:00:05+00:00,121.0,19.0,214.0,False
2019-07-24 03:12:11+00:00,27.0,12.0,416.0,False
2019-07-24 08:12:05+00:00,74.0,23.0,156.0,False
2019-07-26 00:30:48+00:00,30.0,11.0,343.0,False
2019-07-26 12:24:06+00:00,35.0,16.0,327.0,False
2019-07-27 14:48:06+00:00,267.0,33.0,116.0,False
2019-07-27 23:48:05+00:00,269.0,41.0,142.0,False
2019-07-29 14:48:05+00:00,358.0,10.0,305.0,False
2019-07-29 22:24:05+00:00,282.0,6.0,456.0,False
2019-07-29 22:36:05+00:00,43.0,13.0,503.0,False
2019-07-30 08:36:05+00:00,312.0,13.0,385.0,False
2019-07-30 09:36:05+00:00,275.0,16.0,181.0,False
2019-07-30 22:24:05+00:00,98.0,34.0,162.0,False
2019-07-31 00:36:05+00:00,248.0,17.0,176.0,False
2019-07-31 09:48:06+00:00,273.0,16.0,223.0,False
2019-08-01 20:56:52+00:00,241.0,11.0,273.0,False
2019-08-04 12:00:05+00:00,237.0,30.0,48.0,False
2019-08-04 16:00:05+00:00,286.0,12.0,179.0,False
2019-08-04 17:36:05+00:00,282.0,37.0,431.0,False
2019-08-05 02:12:05+00:00,284.0,13.0,154.0,False
2019-08-05 03:12:11+00:00,84.0,23.0,325.0,False
2019-08-05 19:24:05+00:00,232.0,16.0,223.0,False
2019-08-05 22:18:05+00:00,239.0,8.0,357.0,False
2019-08-06 01:36:05+00:00,261.0,68.0,554.0,False
2019-08-06 04:12:05+00:00,259.0,55.0,164.0,False
2019-08-06 11:48:05+00:00,253.0,87.0,333.0,False
2019-08-06 21:48:05+00:00,272.0,36.0,248.0,False
2019-08-07 00:12:05+00:00,242.0,8.0,451.0,False
2019-08-07 05:12:05+00:00,261.0,12.0,388.0,False
2019-08-09 15:29:55+00:00,89.0,70.0,152.0,False
2019-08-10 12:36:05+00:00,87.0,13.0,88.0,False
2019-08-11 19:48:06+00:00,61.0,35.0,169.0,False
2019-08-12 21:12:09+00:00,83.0,37.0,224.0,False
2019-08-13 15:24:05+00:00,87.0,39.0,243.0,False
2019-08-14 15:37:37+00:00,222.0,8.0,533.0,False
2019-08-16 08:36:06+00:00,266.0,8.0,278.0,False
2019-08-19 04:00:05+00:00,265.0,36.0,226.0,False
2019-08-19 08:12:05+00:00,75.0,9.0,250.0,False
2019-08-20 08:12:05+00:00,62.0,5.0,375.0,False
2019-08-21 01:25:43+00:00,59.0,12.0,373.0,False
2019-08-22 19:00:05+00:00,251.0,11.0,254.0,False
2019-08-25 00:12:05+00:00,95.0,50.0,132.0,False
2019-08-25 01:36:15+00:00,276.0,10.0,236.0,False
2019-08-27 10:00:05+00:00,288.0,39.0,158.0,False
2019-08-27 21:24:05+00:00,278.0,27.0,166.0,False
2019-08-28 09:48:05+00:00,230.0,84.0,167.0,False
2019-08-29 21:12:10+00:00,280.0,24.0,139.0,False
2019-09-01 03:24:05+00:00,95.0,38.0,240.0,False
2019-09-02 09:42:06+00:00,83.0,12.0,273.0,False
2019-09-03 15:12:09+00:00,14.0,4.0,383.0,False
2019-09-08 01:25:42+00:00,258.0,53.0,105.0,False
2019-09-08 16:12:05+00:00,60.0,64.0,181.0,False
2019-09-09 12:00:05+00:00,86.0,43.0,213.0,False
2019-09-10 05:00:05+00:00,83.0,28.0,173.0,False
2019-09-11 04:48:06+00:00,81.0,11.0,273.0,False
2019-09-11 11:48:05+00:00,89.0,71.0,99.0,False
2019-09-12 08:00:05+00:00,347.0,9.0,311.0,False
2019-09-12 16:48:05+00:00,102.0,12.0,399.0,False
2019-09-13 00:36:05+00:00,262.0,40.0,196.0,False
2019-09-13 08:00:05+00:00,266.0,26.0,171.0,False
2019-09-13 11:12:05+00:00,96.0,24.0,218.0,False
2019-09-14 07:12:07+00:00,89.0,42.0,158.0,False
2019-09-16 05:24:05+00:00,276.0,80.0,276.0,False
2019-09-16 14:48:06+00:00,85.0,16.0,248.0,False
2019-09-17 04:36:06+00:00,263.0,11.0,217.0,False
2019-09-17 06:48:05+00:00,48.0,10.0,294.0,False
2019-09-18 06:36:05+00:00,65.0,7.0,247.0,False
2019-09-18 07:00:05+00:00,275.0,30.0,219.0,False
2019-09-18 20:56:54+00:00,70.0,8.0,135.0,False
2019-09-20 02:00:05+00:00,111.0,26.0,137.0,False
2019-09-22 00:48:05+00:00,146.0,8.0,181.0,False
2019-09-22 04:36:06+00:00,68.0,17.0,389.0,False
2019-09-23 12:48:05+00:00,253.0,8.0,214.0,False
2019-09-23 20:24:05+00:00,274.0,24.0,70.0,False
2019-09-26 00:36:05+00:00,179.0,4.0,343.0,False
2019-09-26 01:36:14+00:00,274.0,26.0,125.0,False
2019-09-26 03:48:05+00:00,182.0,9.0,390.0,False
2019-09-26 05:24:05+00:00,91.0,19.0,283.0,False
2019-09-28 08:00:05+00:00,89.0,40.0,112.0,False
2019-09-30 05:12:05+00:00,287.0,15.0,167.0,False
2019-09-30 14:00:06+00:00,85.0,30.0,294.0,False
2019-10-01 03:12:11+00:00,90.0,54.0,202.0,False
2019-10-02 03:12:10+00:00,132.0,9.0,563.0,False
2019-10-02 09:12:11+00:00,244.0,56.0,77.0,False
2019-10-02 18:12:05+00:00,107.0,25.0,278.0,False
2019-10-02 19:48:05+00:00,82.0,16.0,119.0,False
2019-10-03 10:36:05+00:00,248.0,16.0,159.0,False
2019-10-03 23:24:07+00:00,81.0,25.0,166.0,False
2019-10-04 07:36:05+00:00,252.0,16.0,213.0,False
2019-10-04 10:00:06+00:00,287.0,12.0,250.0,False
2019-10-04 17:36:05+00:00,114.0,10.0,314.0,False
2019-10-05 21:24:05+00:00,274.0,15.0,200.0,False
2019-10-06 21:48:05+00:00,83.0,23.0,209.0,False
2019-10-08 09:48:05+00:00,125.0,12.0,304.0,False
2019-10-09 17:12:06+00:00,107.0,24.0,91.0,False
2019-10-10 00:48:05+00:00,79.0,19.0,180.0,False
2019-10-11 19:11:31+00:00,268.0,32.0,127.0,False
2019-10-11 23:12:05+00:00,76.0,19.0,136.0,False
2019-10-13 09:36:06+00:00,44.0,8.0,198.0,False
2019-10-13 17:00:05+00:00,278.0,66.0,157.0,False
2019-10-13 20:24:05+00:00,107.0,12.0,216.0,False
2019-10-13 23:36:05+00:00,97.0,27.0,229.0,False
2019-10-14 19:36:05+00:00,277.0,37.0,130.0,False
2019-10-15 08:00:05+00:00,71.0,15.0,144.0,False
2019-10-15 22:00:05+00:00,271.0,7.0,367.0,False
2019-10-16 11:00:05+00:00,259.0,20.0,227.0,False
2019-10-16 12:48:05+00:00,109.0,13.0,263.0,False
2019-10-17 00:36:05+00:00,269.0,29.0,124.0,False
2019-10-17 06:36:05+00:00,277.0,20.0,105.0,False
2019-10-17 21:36:05+00:00,187.0,7.0,372.0,False
2019-10-19 02:12:05+00:00,187.0,11.0,658.0,False
2019-10-20 16:24:05+00:00,247.0,15.0,211.0,False
2019-10-20 17:24:06+00:00,272.0,12.0,177.0,False
2019-10-20 23:24:06+00:00,84.0,9.0,208.0,False
2019-10-22 14:37:18+00:00,109.0,16.0,282.0,False
2019-10-24 04:36:05+00:00,221.0,12.0,212.0,False
2019-10-25 08:00:07+00:00,191.0,84.0,219.0,False
2019-10-25 08:48:05+00:00,171.0,130.0,83.0,False
2019-10-25 10:24:05+00:00,285.0,46.0,35.0,False
2019-10-26 00:48:05+00:00,284.0,14.0,65.0,False
2019-10-26 17:24:05+00:00,287.0,21.0,264.0,False
2019-10-27 03:48:05+00:00,160.0,9.0,445.0,False
2019-10-27 23:24:06+00:00,250.0,16.0,314.0,False
2019-10-28 15:24:05+00:00,246.0,9.0,204.0,False
2019-10-29 14:12:05+00:00,79.0,16.0,169.0,False
2019-10-31 04:24:05+00:00,272.0,59.0,259.0,False
2019-10-31 08:48:05+00:00,246.0,22.0,188.0,False
2019-10-31 10:12:05+00:00,252.0,23.0,234.0,False
2019-10-31 16:24:05+00:00,251.0,40.0,166.0,False
2019-11-03 06:36:05+00:00,119.0,4.0,194.0,False
2019-11-05 03:12:09+00:00,90.0,38.0,281.0,False
2019-11-06 16:36:07+00:00,256.0,33.0,86.0,False
2019-11-06 19:48:05+00:00,359.0,3.0,355.0,False
2019-11-07 06:12:05+00:00,261.0,11.0,139.0,False
2019-11-09 01:25:44+00:00,76.0,43.0,213.0,False
2019-11-12 02:29:29+00:00,70.0,8.0,353.0,False
2019-11-12 03:24:05+00:00,78.0,26.0,239.0,False
2019-11-13 07:48:06+00:00,265.0,42.0,160.0,False
